Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
2 Nephi 1:1	1	And	And	And	And	And	And	And	And
2 Nephi 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	2	now	now	now	now	now	now	now	now
2 Nephi 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	3	it	it	it	it	it	it	it	it
2 Nephi 1:1	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	4	came	came	came	came	came	came	came	came
2 Nephi 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	5	to	to	to	to	to	to	to	to
2 Nephi 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	6	pass	pass	pass	pass	pass	pass	pass	pass
2 Nephi 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	6.02	∅	∅	∅	∅	∅	that	that	that
2 Nephi 1:1	6.03	∅	∅	∅	∅	∅	⌴	⌴	⌴
2 Nephi 1:1	7	after	after	after	after	after	after	after	after
2 Nephi 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	8	I	I	I	I	I	I	I	I
2 Nephi 1:1	8.01	,	,	,	,	,	,	,	,
2 Nephi 1:1	8.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	9	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi
2 Nephi 1:1	9.01	,	,	,	,	,	,	,	,
2 Nephi 1:1	9.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	10	had	had	had	had	had	had	had	had
2 Nephi 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	11	made	made	made	made	made	made	made	made
2 Nephi 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	12	an	an	an	an	an	an	an	an
2 Nephi 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	13	end	end	end	end	end	end	end	end
2 Nephi 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	14	of	of	of	of	of	of	of	of
2 Nephi 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	15	teaching	teaching	teaching	teaching	teaching	teaching	teaching	teaching
2 Nephi 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	16	my	my	my	my	my	my	my	my
2 Nephi 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	17	brethren	brethren	brethren	brethren	brethren	brethren	brethren	brethren
2 Nephi 1:1	17.01	,	,	,	,	,	,	,	,
2 Nephi 1:1	17.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	18	our	our	our	our	our	our	our	our
2 Nephi 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	19	father	father	father	father	father	father	father	father
2 Nephi 1:1	19.01	,	,	,	,	,	,	,	,
2 Nephi 1:1	19.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	20	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi
2 Nephi 1:1	20.01	,	,	,	,	,	,	,	,
2 Nephi 1:1	20.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	21	also	also	also	also	also	also	also	also
2 Nephi 1:1	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	22	spake	spake	spake	spake	spake	spake	spake	spake
2 Nephi 1:1	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
2 Nephi 1:1	23	many	many	many	many	many	many	many	many
