Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Alma 1:1	1	Now	Now	Now	Now	Now	Now	Now	Now
Alma 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	2	it	it	it	it	it	it	it	it
Alma 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	3	came	came	came	came	came	came	came	came
Alma 1:1	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	4	to	to	to	to	to	to	to	to
Alma 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	5	pass	pass	pass	pass	pass	pass	pass	pass
Alma 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	6	that	that	that	that	that	that	that	that
Alma 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	7	in	in	in	in	in	in	in	in
Alma 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	8	the	the	the	the	the	the	the	the
Alma 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	9	first	first	first	first	first	first	first	first
Alma 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	10	year	year	year	year	year	year	year	year
Alma 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	11	of	of	of	of	of	of	of	of
Alma 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	12	the	the	the	the	the	the	the	the
Alma 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	13	reign	reign	riegn	reign	reign	reign	reign	reign
Alma 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	14	of	of	of	of	of	of	of	of
Alma 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	15	the	the	the	the	the	the	the	the
Alma 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	16	Judges	Judges	Judges	Judges	judges	judges	judges	judges
Alma 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	17	over	over	over	over	over	over	over	over
Alma 1:1	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	18	the	the	the	the	the	the	the	the
Alma 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	19	people	people	people	people	people	people	people	people
Alma 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	20	of	of	of	of	of	of	of	of
Alma 1:1	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	21	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi
Alma 1:1	21.01	,	,	,	,	,	,	,	,
Alma 1:1	21.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	22	from	from	from	from	from	from	from	from
Alma 1:1	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	23	this	this	this	this	this	this	this	this
Alma 1:1	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	24	time	time	time	time	time	time	time	time
Alma 1:1	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	25	forward	forward	forward	forward	forward	forward	forward	forward
Alma 1:1	25.01	,	,	,	,	,	,	,	,
Alma 1:1	25.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	26	king	king	king	king	king	king	king	king
Alma 1:1	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	27	Mosiah	Mosiah	Mosiah	Mosiah	Mosiah	Mosiah	Mosiah	Mosiah
Alma 1:1	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	28	having	having	having	having	having	having	having	having
Alma 1:1	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	29	gone	gone	gone	gone	gone	gone	gone	gone
Alma 1:1	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	30	the	the	the	the	the	the	the	the
Alma 1:1	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	31	way	way	way	way	way	way	way	way
Alma 1:1	31.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	32	of	of	of	of	of	of	of	of
Alma 1:1	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	33	all	all	all	all	all	all	all	all
Alma 1:1	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	34	the	the	the	the	the	the	the	the
Alma 1:1	34.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	35	earth	earth	earth	earth	earth	earth	earth	earth
Alma 1:1	35.01	,	,	,	,	,	,	,	,
Alma 1:1	35.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	36	having	having	having	having	having	having	having	having
Alma 1:1	36.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	37	warred	warred	warred	warred	warred	warred	warred	warred
Alma 1:1	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Alma 1:1	38	a	a	a	a	a	a	a	a
Alma 1:1	38.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
