Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Enos 1:1	1	Behold	Behold	Behold	Behold	Behold	Behold	Behold	Behold
Enos 1:1	1.01	,	,	,	,	,	,	,	,
Enos 1:1	1.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	2	it	it	it	it	it	it	it	it
Enos 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	3	came	came	came	came	came	came	came	came
Enos 1:1	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	4	to	to	to	to	to	to	to	to
Enos 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	5	pass	pass	pass	pass	pass	pass	pass	pass
Enos 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	6	that	that	that	that	that	that	that	that
Enos 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	7	I	I	I	I	I	I	I	I
Enos 1:1	7.01	,	,	,	,	,	,	,	,
Enos 1:1	7.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	8	Enos	Enos	Enos	Enos	Enos	Enos	Enos	Enos
Enos 1:1	8.01	,	,	,	,	,	,	,	,
Enos 1:1	8.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	9	knowing	knowing	knowing	knowing	knowing	knowing	knowing	knowing
Enos 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	10	my	my	my	my	my	my	my	my
Enos 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	11	father	father	father	father	father	father	father	father
Enos 1:1	11.01	,	,	,	,	∅	∅	∅	∅
Enos 1:1	11.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	12	that	that	that	that	that	that	that	that
Enos 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	13	he	he	he	he	he	he	he	he
Enos 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	14	was	was	was	was	was	was	was	was
Enos 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	15	a	a	a	a	a	a	a	a
Enos 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	16	just	just	just	just	just	just	just	just
Enos 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	17	man	man	man	man	man	man	man	man
Enos 1:1	17.01	:	:	:	:	:	—	—	—
Enos 1:1	17.02	⌴	⌴	⌴	⌴	⌴	∅	∅	∅
Enos 1:1	18	for	for	for	for	for	for	for	for
Enos 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	19	he	he	he	he	he	he	he	he
Enos 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	20	taught	taught	taught	taught	taught	taught	taught	taught
Enos 1:1	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	21	me	me	me	me	me	me	me	me
Enos 1:1	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	22	in	in	in	in	in	in	in	in
Enos 1:1	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	23	his	his	his	his	his	his	his	his
Enos 1:1	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	24	language	language	language	language	language	language	language	language
Enos 1:1	24.01	,	,	,	,	,	,	,	,
Enos 1:1	24.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	25	and	and	and	and	and	and	and	and
Enos 1:1	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	26	also	also	also	also	also	also	also	also
Enos 1:1	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	27	in	in	in	in	in	in	in	in
Enos 1:1	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	28	the	the	the	the	the	the	the	the
Enos 1:1	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	29	nurture	nurture	nurture	nurture	nurture	nurture	nurture	nurture
Enos 1:1	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	30	and	and	and	and	and	and	and	and
Enos 1:1	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	31	admonition	admonition	admonition	admonition	admonition	admonition	admonition	admonition
Enos 1:1	31.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	32	of	of	of	of	of	of	of	of
Enos 1:1	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	33	the	the	the	the	the	the	the	the
Enos 1:1	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	34	Lord	Lord	Lord	Lord	Lord	Lord	Lord	Lord
Enos 1:1	34.01	.	.	.	.	.	—	—	—
Enos 1:1	34.02	⌴	⌴	⌴	⌴	⌴	∅	∅	∅
Enos 1:1	35	And	And	And	And	And	and	and	and
Enos 1:1	35.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	36	blessed	blessed	blessed	blessed	blessed	blessed	blessed	blessed
Enos 1:1	36.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	37	be	be	be	be	be	be	be	be
Enos 1:1	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	38	the	the	the	the	the	the	the	the
Enos 1:1	38.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	39	name	name	name	name	name	name	name	name
Enos 1:1	39.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	40	of	of	of	of	of	of	of	of
Enos 1:1	40.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	41	my	my	my	my	my	my	my	my
Enos 1:1	41.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	42	God	God	God	God	God	God	God	God
Enos 1:1	42.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	43	for	for	for	for	for	for	for	for
Enos 1:1	43.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:1	44	it	it	it	it	it	it	it	it
Enos 1:1	44.01	.	.	.	.	.	—	—	—
Enos 1:2	1	And	And	And	And	And	And	And	And
Enos 1:2	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	2	I	I	I	I	I	I	I	I
Enos 1:2	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	3	will	will	will	will	will	will	will	will
Enos 1:2	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	4	tell	tell	tell	tell	tell	tell	tell	tell
Enos 1:2	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	5	you	you	you	you	you	you	you	you
Enos 1:2	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	6	of	of	of	of	of	of	of	of
Enos 1:2	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	7	the	the	the	the	the	the	the	the
Enos 1:2	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	8	wrestle	wrestle	wrestle	wrestle	wrestle	wrestle	wrestle	wrestle
Enos 1:2	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	9	which	which	which	which	which	which	which	which
Enos 1:2	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	10	I	I	I	I	I	I	I	I
Enos 1:2	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	11	had	had	had	had	had	had	had	had
Enos 1:2	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	12	before	before	before	before	before	before	before	before
Enos 1:2	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	13	God	God	God	God	God	God	God	God
Enos 1:2	13.01	,	,	,	,	,	,	,	,
Enos 1:2	13.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	14	before	before	before	before	before	before	before	before
Enos 1:2	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	15	that	∅	∅	∅	∅	∅	∅	∅
Enos 1:2	15.01	⌴	∅	∅	∅	∅	∅	∅	∅
Enos 1:2	16	I	I	I	I	I	I	I	I
Enos 1:2	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	17	received	received	received	received	received	received	received	received
Enos 1:2	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	18	a	a	a	a	a	a	a	a
Enos 1:2	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	19	remission	remission	remission	remission	remission	remission	remission	remission
Enos 1:2	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	20	of	of	of	of	of	of	of	of
Enos 1:2	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	21	my	my	my	my	my	my	my	my
Enos 1:2	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:2	22	sins	sins	sins	sins	sins	sins	sins	sins
Enos 1:2	22.01	:	:	:	:	:	.	.	.
Enos 1:3	1	behold	behold	behold	behold	Behold	Behold	Behold	Behold
Enos 1:3	1.01	,	,	,	,	,	,	,	,
Enos 1:3	1.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	2	I	I	I	I	I	I	I	I
Enos 1:3	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	3	went	went	went	went	went	went	went	went
Enos 1:3	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	4	to	to	to	to	to	to	to	to
Enos 1:3	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	5	hunt	hunt	hunt	hunt	hunt	hunt	hunt	hunt
Enos 1:3	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	6	beasts	beasts	beasts	beasts	beasts	beasts	beasts	beasts
Enos 1:3	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	7	in	in	in	in	in	in	in	in
Enos 1:3	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	8	the	the	the	the	the	the	the	the
Enos 1:3	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	9	forest	forest	forest	forest	forest	forests	forests	forests
Enos 1:3	9.01	;	;	;	;	;	;	;	;
Enos 1:3	9.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	10	and	and	and	and	and	and	and	and
Enos 1:3	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	11	the	the	the	the	the	the	the	the
Enos 1:3	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	12	words	words	words	words	words	words	words	words
Enos 1:3	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	13	which	which	which	which	which	which	which	which
Enos 1:3	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	14	I	I	I	I	I	I	I	I
Enos 1:3	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	15	had	had	had	had	had	had	had	had
Enos 1:3	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	16	often	often	often	often	often	often	often	often
Enos 1:3	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	17	heard	heard	heard	heard	heard	heard	heard	heard
Enos 1:3	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	18	my	my	my	my	my	my	my	my
Enos 1:3	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	19	father	father	father	father	father	father	father	father
Enos 1:3	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	20	speak	speak	speak	speak	speak	speak	speak	speak
Enos 1:3	20.01	,	,	,	,	∅	∅	∅	∅
Enos 1:3	20.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	21	concerning	concerning	concerning	concerning	concerning	concerning	concerning	concerning
Enos 1:3	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	22	eternal	eternal	eternal	eternal	eternal	eternal	eternal	eternal
Enos 1:3	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	23	life	life	life	life	life	life	life	life
Enos 1:3	23.01	,	,	,	,	,	,	,	,
Enos 1:3	23.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	24	and	and	and	and	and	and	and	and
Enos 1:3	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	25	the	the	the	the	the	the	the	the
Enos 1:3	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	26	joy	joy	joy	joy	joy	joy	joy	joy
Enos 1:3	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	27	of	of	of	of	of	of	of	of
Enos 1:3	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	28	the	the	the	the	the	the	the	the
Enos 1:3	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	29	saints	saints	saints	saints	saints	saints	saints	saints
Enos 1:3	29.01	,	,	,	,	,	,	,	,
Enos 1:3	29.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	30	and	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	30.01	⌴	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	31	the	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	31.01	⌴	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	32	words	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	32.01	⌴	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	33	of	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	33.01	⌴	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	34	my	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	34.01	⌴	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	35	father	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	35.01	,	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	35.02	⌴	∅	∅	∅	∅	∅	∅	∅
Enos 1:3	36	sunk	sunk	sunk	sunk	sunk	sunk	sunk	sunk
Enos 1:3	36.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	37	deep	deep	deep	deep	deep	deep	deep	deep
Enos 1:3	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	38	into	into	into	into	into	into	into	into
Enos 1:3	38.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	39	my	my	my	my	my	my	my	my
Enos 1:3	39.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:3	40	heart	heart	heart	heart	heart	heart	heart	heart
Enos 1:3	40.01	.	.	.	.	.	.	.	.
Enos 1:4	1	And	And	And	And	And	And	And	And
Enos 1:4	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	2	my	my	my	my	my	my	my	my
Enos 1:4	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	3	soul	soul	soul	soul	soul	soul	soul	soul
Enos 1:4	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	4	hungered	hungered	hungered	hungered	hungered	hungered	hungered	hungered
Enos 1:4	4.01	;	;	;	;	;	;	;	;
Enos 1:4	4.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	5	and	and	and	and	and	and	and	and
Enos 1:4	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	6	I	I	I	I	I	I	I	I
Enos 1:4	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	7	kneeled	kneeled	kneeled	kneeled	kneeled	kneeled	kneeled	kneeled
Enos 1:4	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	8	down	down	down	down	down	down	down	down
Enos 1:4	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	9	before	before	before	before	before	before	before	before
Enos 1:4	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	10	my	my	my	my	my	my	my	my
Enos 1:4	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	11	Maker	Maker	Maker	Maker	Maker	Maker	Maker	Maker
Enos 1:4	11.01	,	,	,	,	,	,	,	,
Enos 1:4	11.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	12	and	and	and	and	and	and	and	and
Enos 1:4	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	13	I	I	I	I	I	I	I	I
Enos 1:4	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	14	cried	cried	cried	cried	cried	cried	cried	cried
Enos 1:4	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	15	unto	unto	unto	unto	unto	unto	unto	unto
Enos 1:4	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	16	him	him	him	him	him	him	him	him
Enos 1:4	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	17	in	in	in	in	in	in	in	in
Enos 1:4	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	18	mighty	mighty	mighty	mighty	mighty	mighty	mighty	mighty
Enos 1:4	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	19	prayer	prayer	prayer	prayer	prayer	prayer	prayer	prayer
Enos 1:4	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	20	and	and	and	and	and	and	and	and
Enos 1:4	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	21	supplication	supplication	supplication	supplication	supplication	supplication	supplication	supplication
Enos 1:4	21.01	,	,	,	,	∅	∅	∅	∅
Enos 1:4	21.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	22	for	for	for	for	for	for	for	for
Enos 1:4	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	23	mine	mine	mine	mine	mine	mine	mine	mine
Enos 1:4	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	24	own	own	own	own	own	own	own	own
Enos 1:4	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	25	soul	soul	soul	soul	soul	soul	soul	soul
Enos 1:4	25.01	;	;	;	;	;	;	;	;
Enos 1:4	25.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Enos 1:4	26	and	and	and	and	and	and	and	and
