Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Ether 1:1	1	And	And	And	And	And	And	And	And
Ether 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	2	now	now	now	now	now	now	now	now
Ether 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	3	I	I	I	I	I	I	I	I
Ether 1:1	3.01	,	,	,	,	,	,	,	,
Ether 1:1	3.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	4	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni
Ether 1:1	4.01	,	,	,	,	,	,	,	,
Ether 1:1	4.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	5	proceed	proceed	proceed	proceed	proceed	proceed	proceed	proceed
Ether 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	6	to	to	to	to	to	to	to	to
Ether 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	7	give	give	give	give	give	give	give	give
Ether 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	8	an	an	an	an	an	an	an	an
Ether 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	9	account	account	account	account	account	account	account	account
Ether 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	10	of	of	of	of	of	of	of	of
Ether 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	11	those	those	those	those	those	those	those	those
Ether 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	12	ancient	ancient	ancient	ancient	ancient	ancient	ancient	ancient
Ether 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	13	inhabitants	inhabitants	inhabitants	inhabitants	inhabitants	inhabitants	inhabitants	inhabitants
Ether 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	14	which	who	who	who	who	who	who	who
Ether 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	15	were	were	were	were	were	were	were	were
Ether 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	16	destroyed	destroyed	destroyed	destroyed	destroyed	destroyed	destroyed	destroyed
Ether 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	17	by	by	by	by	by	by	by	by
Ether 1:1	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	18	the	the	the	the	the	the	the	the
Ether 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	19	hand	hand	hand	hand	hand	hand	hand	hand
Ether 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	20	of	of	of	of	of	of	of	of
Ether 1:1	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	21	the	the	the	the	the	the	the	the
Ether 1:1	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:1	22	Lord	Lord	Lord	Lord	Lord	Lord	Lord	Lord
