Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Helaman 1:1	1	And	And	And	And	And	And	And	And
Helaman 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	2	now	now	now	now	now	now	now	now
Helaman 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	3	behold	behold	behold	behold	behold	behold	behold	behold
Helaman 1:1	3.01	,	,	,	,	,	,	,	,
Helaman 1:1	3.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	4	it	it	it	it	it	it	it	it
Helaman 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	5	came	came	came	came	came	came	came	came
Helaman 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	6	to	to	to	to	to	to	to	to
Helaman 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	7	pass	pass	pass	pass	pass	pass	pass	pass
Helaman 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	8	in	in	in	in	in	in	in	in
Helaman 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	9	the	the	the	the	the	the	the	the
Helaman 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	10	commencement	commencement	commencement	commencement	commencement	commencement	commencement	commencement
Helaman 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	11	of	of	of	of	of	of	of	of
Helaman 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	12	the	the	the	the	the	the	the	the
Helaman 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	13	fortieth	fortieth	fortieth	fortieth	fortieth	fortieth	fortieth	fortieth
Helaman 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	14	year	year	year	year	year	year	year	year
Helaman 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	15	of	of	of	of	of	of	of	of
Helaman 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	16	the	the	the	the	the	the	the	the
Helaman 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	17	reign	reign	reign	reign	reign	reign	reign	reign
Helaman 1:1	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	18	of	of	of	of	of	of	of	of
Helaman 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	19	the	the	the	the	the	the	the	the
Helaman 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	20	Judges	judges	judges	judges	Judges	judges	judges	judges
Helaman 1:1	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	21	over	over	over	over	over	over	over	over
Helaman 1:1	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	22	the	the	the	the	the	the	the	the
Helaman 1:1	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	23	people	people	people	people	people	people	people	people
Helaman 1:1	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	24	of	of	of	of	of	of	of	of
Helaman 1:1	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	25	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi
Helaman 1:1	25.01	,	,	,	,	,	,	,	,
Helaman 1:1	25.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	26	there	there	there	there	there	there	there	there
Helaman 1:1	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	27	began	began	began	began	began	began	began	began
Helaman 1:1	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	28	to	to	to	to	to	to	to	to
Helaman 1:1	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	29	be	be	be	be	be	be	be	be
Helaman 1:1	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	30	a	a	a	a	a	a	a	a
Helaman 1:1	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	31	serious	serious	serious	serious	serious	serious	serious	serious
Helaman 1:1	31.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	32	difficulty	difficulty	difficulty	difficulty	difficulty	difficulty	difficulty	difficulty
Helaman 1:1	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	33	among	among	among	among	among	among	among	among
Helaman 1:1	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	34	the	the	the	the	the	the	the	the
Helaman 1:1	34.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	35	people	people	people	people	people	people	people	people
Helaman 1:1	35.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	36	of	of	of	of	of	of	of	of
Helaman 1:1	36.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	37	the	the	the	the	the	the	the	the
Helaman 1:1	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Helaman 1:1	38	Nephites	Nephites	Nephites	Nephites	Nephites	Nephites	Nephites	Nephites
Helaman 1:1	38.01	.	.	.	.	.	.	.	.
Helaman 1:2	1	For	For	For	For	For	For	For	For
Helaman 1:2	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
