Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Jacob 1:1	1	For	For	For	For	For	For	For	For
Jacob 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	2	behold	behold	behold	behold	behold	behold	behold	behold
Jacob 1:1	2.01	,	,	,	,	,	,	,	,
Jacob 1:1	2.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	3	it	it	it	it	it	it	it	it
Jacob 1:1	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	4	came	came	came	came	came	came	came	came
Jacob 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	5	to	to	to	to	to	to	to	to
Jacob 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	6	pass	pass	pass	pass	pass	pass	pass	pass
Jacob 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	7	that	that	that	that	that	that	that	that
Jacob 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	8	fifty	fifty	fifty	fifty	fifty	fifty	fifty	fifty
Jacob 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	9	and	and	and	and	and	and	and	and
Jacob 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	10	five	five	five	five	five	five	five	five
Jacob 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	11	years	years	years	years	years	years	years	years
Jacob 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	12	had	had	had	had	had	had	had	had
Jacob 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	13	passed	passed	passed	passed	passed	passed	passed	passed
Jacob 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	14	away	away	away	away	away	away	away	away
Jacob 1:1	14.01	,	,	,	,	,	∅	∅	∅
Jacob 1:1	14.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	15	from	from	from	from	from	from	from	from
Jacob 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	16	the	the	the	the	the	the	the	the
Jacob 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	17	time	time	time	time	time	time	time	time
Jacob 1:1	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	18	that	that	that	that	that	that	that	that
Jacob 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:1	19	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi	Lehi
Jacob 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
