Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Jarom 1:1	1	Now	Now	Now	Now	Now	Now	Now	Now
Jarom 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	2	behold	behold	behold	behold	behold	behold	behold	behold
Jarom 1:1	2.01	,	,	,	,	,	,	,	,
Jarom 1:1	2.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	3	I	I	I	I	I	I	I	I
Jarom 1:1	3.01	,	∅	∅	∅	∅	,	,	,
Jarom 1:1	3.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	4	Jarom	Jarom	Jarom	Jarom	Jarom	Jarom	Jarom	Jarom
Jarom 1:1	4.01	,	,	,	,	,	,	,	,
Jarom 1:1	4.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	5	write	write	write	write	write	write	write	write
Jarom 1:1	5.01	∅	∅	∅	,	∅	∅	∅	∅
Jarom 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	6	a	a	a	a	a	a	a	a
Jarom 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	7	few	few	few	few	few	few	few	few
Jarom 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	8	words	words	words	words	words	words	words	words
Jarom 1:1	8.01	,	,	,	,	,	∅	∅	∅
Jarom 1:1	8.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	9	according	according	according	according	according	according	according	according
Jarom 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	10	to	to	to	to	to	to	to	to
Jarom 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	11	the	the	the	the	the	the	the	the
Jarom 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	12	commandment	commandment	commandment	commandment	commandment	commandment	commandment	commandment
Jarom 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jarom 1:1	13	of	of	of	of	of	of	of	of
