Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Mormon 1:1	1	And	And	And	And	And	And	And	And
Mormon 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	2	now	now	now	now	now	now	now	now
Mormon 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	3	I	I	I	I	I	I	I	I
Mormon 1:1	3.01	,	,	,	,	,	,	,	,
Mormon 1:1	3.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	4	Mormon	Mormon	Mormon	Mormon	Mormon	Mormon	Mormon	Mormon
Mormon 1:1	4.01	,	,	,	,	,	,	,	,
Mormon 1:1	4.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	5	make	make	make	make	make	make	make	make
Mormon 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	6	a	a	a	a	a	a	a	a
Mormon 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	7	record	record	record	record	record	record	record	record
Mormon 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	8	of	of	of	of	of	of	of	of
Mormon 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	9	the	the	the	the	the	the	the	the
Mormon 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	10	things	things	things	things	things	things	things	things
Mormon 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	11	which	which	which	which	which	which	which	which
Mormon 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	12	I	I	I	I	I	I	I	I
Mormon 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	13	have	have	have	have	have	have	have	have
Mormon 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	14	both	both	both	both	both	both	both	both
Mormon 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	15	seen	seen	seen	seen	seen	seen	seen	seen
Mormon 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	16	and	and	and	and	and	and	and	and
Mormon 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	17	heard	heard	heard	heard	heard	heard	heard	heard
Mormon 1:1	17.01	,	,	,	,	,	,	,	,
Mormon 1:1	17.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	18	and	and	and	and	and	and	and	and
Mormon 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	19	call	call	call	call	call	call	call	call
Mormon 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	20	it	it	it	it	it	it	it	it
Mormon 1:1	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	21	the	the	the	the	the	the	the	the
Mormon 1:1	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mormon 1:1	22	Book	book	book	book	Book	Book	Book	Book
Mormon 1:1	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
