Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Moroni 1:1	1	Now	Now	Now	Now	NOW	Now	Now	Now
Moroni 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	2	I	I	I	I	I	I	I	I
Moroni 1:1	2.01	,	,	,	,	,	,	,	,
Moroni 1:1	2.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	3	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni
Moroni 1:1	3.01	,	,	,	,	,	,	,	,
Moroni 1:1	3.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	4	after	after	after	after	after	after	after	after
Moroni 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	5	having	having	having	having	having	having	having	having
Moroni 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	6	made	made	made	made	made	made	made	made
Moroni 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	7	an	an	an	an	an	an	an	an
Moroni 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	8	end	end	end	end	end	end	end	end
Moroni 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	9	of	of	of	of	of	of	of	of
Moroni 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	10	abridging	abridging	abridging	abridging	abridging	abridging	abridging	abridging
Moroni 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	11	the	the	the	the	the	the	the	the
Moroni 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	12	account	account	account	account	account	account	account	account
Moroni 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	13	of	of	of	of	of	of	of	of
Moroni 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	14	the	the	the	the	the	the	the	the
Moroni 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	15	people	people	people	people	people	people	people	people
Moroni 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	16	of	of	of	of	of	of	of	of
Moroni 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	17	Jared	Jared	Jared	Jared	Jared	Jared	Jared	Jared
Moroni 1:1	17.01	,	,	,	,	,	,	,	,
Moroni 1:1	17.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	18	I	I	I	I	I	I	I	I
Moroni 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	19	had	had	had	had	had	had	had	had
Moroni 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	20	supposed	supposed	supposed	supposed	supposed	supposed	supposed	supposed
Moroni 1:1	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	21	not	not	not	not	not	not	not	not
Moroni 1:1	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	22	to	to	to	to	to	to	to	to
Moroni 1:1	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	23	have	have	have	have	have	have	have	have
Moroni 1:1	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	24	written	written	written	written	written	written	written	written
Moroni 1:1	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	25	more	more	more	more	more	more	more	more
Moroni 1:1	25.01	,	,	,	,	,	,	,	,
Moroni 1:1	25.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	26	but	but	but	but	but	but	but	but
Moroni 1:1	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	27	I	I	I	I	I	I	I	I
Moroni 1:1	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	28	have	have	have	have	have	have	have	have
Moroni 1:1	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	29	not	not	not	not	not	not	not	not
Moroni 1:1	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	30	as	as	as	as	as	as	as	as
Moroni 1:1	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	31	yet	yet	yet	yet	yet	yet	yet	yet
Moroni 1:1	31.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	32	perished	perished	perished	perished	perished	perished	perished	perished
Moroni 1:1	32.01	;	;	;	;	;	;	;	;
Moroni 1:1	32.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	33	and	and	and	and	and	and	and	and
Moroni 1:1	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	34	I	I	I	I	I	I	I	I
Moroni 1:1	34.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	35	make	make	make	make	make	make	make	make
Moroni 1:1	35.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	36	not	not	not	not	not	not	not	not
Moroni 1:1	36.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	37	myself	myself	myself	myself	myself	myself	myself	myself
Moroni 1:1	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	38	known	known	known	known	known	known	known	known
Moroni 1:1	38.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	39	to	to	to	to	to	to	to	to
Moroni 1:1	39.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	40	the	the	the	the	the	the	the	the
Moroni 1:1	40.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	41	Lamanites	Lamanites	Lamanites	Lamanites	Lamanites	Lamanites	Lamanites	Lamanites
Moroni 1:1	41.01	,	,	,	,	,	∅	∅	∅
Moroni 1:1	41.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	42	lest	lest	lest	lest	lest	lest	lest	lest
Moroni 1:1	42.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	43	they	they	they	they	they	they	they	they
Moroni 1:1	43.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	44	should	should	should	should	should	should	should	should
Moroni 1:1	44.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	45	destroy	destroy	destroy	destroy	destroy	destroy	destroy	destroy
Moroni 1:1	45.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:1	46	me	me	me	me	me	me	me	me
Moroni 1:1	46.01	.	.	.	.	.	.	.	.
Moroni 1:2	1	For	For	For	For	For	For	For	For
Moroni 1:2	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	2	behold	behold	behold	behold	behold	behold	behold	behold
Moroni 1:2	2.01	,	,	,	,	,	,	,	,
Moroni 1:2	2.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	3	their	their	their	their	their	their	their	their
Moroni 1:2	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	4	wars	wars	wars	wars	wars	wars	wars	wars
Moroni 1:2	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	5	are	are	are	are	are	are	are	are
Moroni 1:2	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	6	exceeding	exceeding	exceeding	exceeding	exceeding	exceedingly	exceedingly	exceedingly
Moroni 1:2	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	7	fierce	fierce	fierce	fierce	fierce	fierce	fierce	fierce
Moroni 1:2	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	8	among	among	among	among	among	among	among	among
Moroni 1:2	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	9	themselves	themselves	themselves	themselves	themselves	themselves	themselves	themselves
Moroni 1:2	9.01	;	;	;	;	;	;	;	;
Moroni 1:2	9.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	10	and	and	and	and	and	and	and	and
Moroni 1:2	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	11	because	because	because	because	because	because	because	because
Moroni 1:2	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	12	of	of	of	of	of	of	of	of
Moroni 1:2	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	13	their	their	their	their	their	their	their	their
Moroni 1:2	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	14	hatred	hatred	hatred	hatred	hatred	hatred	hatred	hatred
Moroni 1:2	14.01	,	,	,	,	,	∅	∅	∅
Moroni 1:2	14.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	15	they	they	they	they	they	they	they	they
Moroni 1:2	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	16	put	put	put	put	put	put	put	put
Moroni 1:2	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	17	to	to	to	to	to	to	to	to
Moroni 1:2	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	18	death	death	death	death	death	death	death	death
Moroni 1:2	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	19	every	every	every	every	every	every	every	every
Moroni 1:2	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	20	Nephite	Nephite	Nephite	Nephite	Nephite	Nephite	Nephite	Nephite
Moroni 1:2	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	21	that	that	that	that	that	that	that	that
Moroni 1:2	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	22	will	will	will	will	will	will	will	will
Moroni 1:2	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	23	not	not	not	not	not	not	not	not
Moroni 1:2	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	24	deny	deny	deny	deny	deny	deny	deny	deny
Moroni 1:2	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	25	the	the	the	the	the	the	the	the
Moroni 1:2	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:2	26	Christ	Christ	Christ	Christ	Christ	Christ	Christ	Christ
Moroni 1:2	26.01	.	.	.	.	.	.	.	.
Moroni 1:3	1	And	And	And	And	And	And	And	And
Moroni 1:3	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:3	2	I	I	I	I	I	I	I	I
Moroni 1:3	2.01	,	,	,	,	,	,	,	,
Moroni 1:3	2.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Moroni 1:3	3	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni
Moroni 1:3	3.01	,	,	,	,	,	,	,	,
Moroni 1:3	3.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
