Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Mosiah 1:1	1	And	And	And	And	And	And	And	And
Mosiah 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	2	now	now	now	now	now	now	now	now
Mosiah 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	3	there	there	there	there	there	there	there	there
Mosiah 1:1	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	4	was	was	was	was	was	was	was	was
Mosiah 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	5	no	no	no	no	no	no	no	no
Mosiah 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	6	more	more	more	more	more	more	more	more
Mosiah 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	7	contention	contention	contention	contention	contention	contention	contention	contention
Mosiah 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	8	in	in	in	in	in	in	in	in
Mosiah 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	9	all	all	all	all	all	all	all	all
Mosiah 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	10	the	the	the	the	the	the	the	the
Mosiah 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	11	land	land	land	land	land	land	land	land
Mosiah 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	12	of	of	of	of	of	of	of	of
Mosiah 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Mosiah 1:1	13	Zarahemla	Zarahemla	Zarahemla	Zarahemla	Zarahemla	Zarahemla	Zarahemla	Zarahemla
Mosiah 1:1	13.01	,	,	,	,	,	,	,	,
