Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Omni 1:1	1	Behold	Behold	Behold	Behold	Behold	Behold	Behold	Behold
Omni 1:1	1.01	,	,	,	,	,	,	,	,
Omni 1:1	1.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	2	it	it	it	it	it	it	it	it
Omni 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	3	came	came	came	came	came	came	came	came
Omni 1:1	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	4	to	to	to	to	to	to	to	to
Omni 1:1	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	5	pass	pass	pass	pass	pass	pass	pass	pass
Omni 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	6	that	that	that	that	that	that	that	that
Omni 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	7	I	I	I	I	I	I	I	I
Omni 1:1	7.01	,	,	,	,	,	,	,	,
Omni 1:1	7.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	8	Omni	Omni	Omni	Omni	Omni	Omni	Omni	Omni
Omni 1:1	8.01	,	,	,	,	,	,	,	,
Omni 1:1	8.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	9	being	being	being	being	being	being	being	being
Omni 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	10	commanded	commanded	commanded	commanded	commanded	commanded	commanded	commanded
Omni 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	11	by	by	by	by	by	by	by	by
Omni 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	12	my	my	my	my	my	my	my	my
Omni 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	13	father	father	father	father	father	father	father	father
Omni 1:1	13.01	∅	∅	∅	∅	∅	,	,	,
Omni 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	14	Jarom	Jarom	Jarom	Jarom	Jarom	Jarom	Jarom	Jarom
Omni 1:1	14.01	,	,	,	,	,	,	,	,
Omni 1:1	14.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	15	that	that	that	that	that	that	that	that
Omni 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	16	I	I	I	I	I	I	I	I
Omni 1:1	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	17	should	should	should	should	should	should	should	should
Omni 1:1	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:1	18	write	write	write	write	write	write	write	write
