Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Words of Mormon 1:1	1	And	And	And	And	And	And	And	And
Words of Mormon 1:1	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	2	now	now	now	now	now	now	now	now
Words of Mormon 1:1	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	3	I	I	I	I	I	I	I	I
Words of Mormon 1:1	3.01	,	,	,	,	,	,	,	,
Words of Mormon 1:1	3.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	4	Mormon	Mormon	Mormon	Mormon	Mormon	Mormon	Mormon	Mormon
Words of Mormon 1:1	4.01	,	,	,	,	,	,	,	,
Words of Mormon 1:1	4.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	5	being	being	being	being	being	being	being	being
Words of Mormon 1:1	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	6	about	about	about	about	about	about	about	about
Words of Mormon 1:1	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	7	to	to	to	to	to	to	to	to
Words of Mormon 1:1	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	8	deliver	de liver	deliver	deliver	deliver	deliver	deliver	deliver
Words of Mormon 1:1	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	9	up	up	up	up	up	up	up	up
Words of Mormon 1:1	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	10	the	the	the	the	the	the	the	the
Words of Mormon 1:1	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	11	record	record	record	record	record	record	record	record
Words of Mormon 1:1	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	12	which	which	which	which	which	which	which	which
Words of Mormon 1:1	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	13	I	I	I	I	I	I	I	I
Words of Mormon 1:1	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	14	have	have	have	have	have	have	have	have
Words of Mormon 1:1	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	15	been	been	been	been	been	been	been	been
Words of Mormon 1:1	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	16	making	making	making	making	making	making	making	making
Words of Mormon 1:1	16.01	,	,	,	,	,	∅	∅	∅
Words of Mormon 1:1	16.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	17	into	into	into	into	into	into	into	into
Words of Mormon 1:1	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	18	the	the	the	the	the	the	the	the
Words of Mormon 1:1	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	19	hands	hands	hands	hands	hands	hands	hands	hands
Words of Mormon 1:1	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	20	of	of	of	of	of	of	of	of
Words of Mormon 1:1	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	21	my	my	my	my	my	my	my	my
Words of Mormon 1:1	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	22	son	son	son	son	son	son	son	son
Words of Mormon 1:1	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	23	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni
Words of Mormon 1:1	23.01	,	,	,	,	,	,	,	,
Words of Mormon 1:1	23.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	24	behold	behold	behold	behold	behold	behold	behold	behold
Words of Mormon 1:1	24.01	,	,	,	,	,	∅	∅	∅
Words of Mormon 1:1	24.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	25	I	I	I	I	I	I	I	I
Words of Mormon 1:1	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	26	have	have	have	have	have	have	have	have
Words of Mormon 1:1	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	27	witnessed	witnessed	witnessed	witnessed	witnessed	witnessed	witnessed	witnessed
Words of Mormon 1:1	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	28	almost	almost	almost	almost	almost	almost	almost	almost
Words of Mormon 1:1	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	29	all	all	all	all	all	all	all	all
Words of Mormon 1:1	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	30	the	the	the	the	the	the	the	the
Words of Mormon 1:1	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	31	destruction	destruction	destruction	destruction	destruction	destruction	destruction	destruction
Words of Mormon 1:1	31.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	32	of	of	of	of	of	of	of	of
Words of Mormon 1:1	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	33	my	my	my	my	my	my	my	my
Words of Mormon 1:1	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	34	people	people	people	people	people	people	people	people
Words of Mormon 1:1	34.01	,	,	,	,	,	,	,	,
Words of Mormon 1:1	34.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	35	the	the	the	the	the	the	the	the
Words of Mormon 1:1	35.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:1	36	Nephites	Nephites	Nephites	Nephites	Nephites	Nephites	Nephites	Nephites
Words of Mormon 1:1	36.01	.	.	.	.	.	.	.	.
Words of Mormon 1:2	1	And	And	And	And	And	And	And	And
Words of Mormon 1:2	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:2	2	it	it	it	it	it	it	it	it
Words of Mormon 1:2	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:2	3	is	is	is	is	is	is	is	is
Words of Mormon 1:2	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:2	4	many	many	many	many	many	many	many	many
Words of Mormon 1:2	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Words of Mormon 1:2	5	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred
